5,,,,,,,,,Plan de Contenido,,,,,,,,,,,,,,,Mayo 2026,,,,,,,,,Escoge fecha,,,,"Wed, May 15",,,.,,,,,,Escoge post,1,.,,,Estatus,,,,,,,,Resumen de Estatus,,
Mayo 2026,,,,,,,,,#,Información general,,Idea,Caption,Texto en Arte,Hashtags,Formatos,,,,Comentarios,,Idea Completa,,,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,,Link,#,Fecha,Proyecto,Estatus,Plataforma,Formato,Idea,Caption,Texto en Arte,Hashtags,Idea Completa,,,,,,,Link,#,Fecha,Estatus,Plataforma,Formato,Idea,,,Estatus,# Posts
,2026,,,,,,,,1,Fecha,"Fri, May 1",¿Cuánto tiempo pierdes en el tráfico? 🚗,"¿Sabes cuántas horas al año pierdes en el tráfico?

En Guatemala, el promedio es más de 200 horas anuales. Casi 9 días completos de tu vida... atascado.

En Boulevard 5, tu apartamento está en Zona 5.
El trabajo, los restaurantes, el gimnasio y la vida... a minutos.

🏙️ Zona 5 | Apartamentos inteligentes
⏰ Más tiempo para ti, menos tiempo en la calle
💰 Cuota desde Q7,500/mes

Quedan muy pocas unidades disponibles.
¿Hablamos hoy? 👇
","""El tráfico no existe cuando vives en Boulevard 5""
Boulevard 5 | Zona 5
Cuota desde Q7,500/mes
",,FALSE,,FALSE,,,,"¿Sabes cuántas horas al año pierdes en el tráfico?En Guatemala, el promedio es más de 200 horas anuales. Casi 9 días completos de tu vida... atascado.En Boulevard 5, tu apartamento está en Zona 5.El trabajo, los restaurantes, el gimnasio y la vida... a minutos.🏙️ Zona 5 | Apartamentos inteligentes⏰ Más tiempo para ti, menos tiempo en la calle💰 Cuota desde Q7,500/mesQuedan muy pocas unidades disponibles.¿Hablamos hoy? 👇",,Semana 1,27,28,29,30,1,2,3,,,,,,,,,,,,,"",,Ir,,Comentarios,,,Ir,1,"Fri, May 1",Pendiente,Facebook / Instagram,Carrusel,¿Cuánto tiempo pierdes en el tráfico? 🚗,,4,Pendiente,71
,L,M,M,J,V,S,D,,,Proyecto,Boulevard 5,,,,,FALSE,,FALSE,,,,,,,,,,,"1 - Facebook / Instagram - Carrusel - ¿Cuánto tiempo pierd
15 - Facebook / Instagram - Carrusel - ¿Ya sabes que puedes
30 - Facebook / Instagram - Carrusel - Todo lo que necesitá
45 - Facebook / Instagram - Carrusel - Bienvenido a la hist
60 - Facebook / Instagram - Carrusel - Quiénes somos: más q",,"2 - Facebook / Instagram - Carrusel - bienvenido a tu smar
16 - Facebook / Instagram - Carrusel - Así avanza la constr
31 - Facebook / Instagram - Carrusel - El secreto mejor gua
46 - Facebook / Instagram - Carrusel - Solo quedan 11 🔑
61 - Facebook / Instagram - Carrusel - Nuestros proyectos: ",,,,,,,,,,,,,"",,Fecha,"Fri, May 1",,,,Ir,2,"Sun, May 3",Pendiente,Facebook / Instagram,Carrusel,bienvenido a tu smart apartment ,,,,
,27,28,29,30,1,2,3,,,Plataforma,Facebook / Instagram,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,Proyecto,Boulevard 5,,,,Ir,3,"Mon, May 4",Pendiente,Facebook / Instagram,Post,May The Fourth,,,,
,4,5,6,7,8,9,10,,,Formato,Carrusel,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,Plataforma,Facebook / Instagram,,,,Ir,4,"Wed, May 6",Pendiente,Facebook / Instagram,Post,Last Units,,,,
,11,12,13,14,15,16,17,,,Grupo de Hashtag,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,Formato,Carrusel,,,,Ir,5,"Sat, May 9",Pendiente,Facebook / Instagram,Post,El mejor regalo para mamá,,,,
,18,19,20,21,22,23,24,,,Separar por:,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,Estatus,Pendiente,,,,Ir,6,"Sun, May 10",Pendiente,Facebook / Instagram,Post,Día de la Madre,,,,
,25,26,27,28,29,30,31,,,Estatus,Pendiente,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"",,Idea,,,,,Ir,7,"Wed, May 13",Pendiente,Facebook / Instagram,Carrusel,Inversión inteligente,,,,
,1,2,3,4,5,6,7,,2,Fecha,"Sun, May 3",bienvenido a tu smart apartment ,"Llegas a casa con las manos llenas de bolsas...
La puerta se abre sola. 🔐

Dices ""Alexa, enciende las luces""...
Y tu apartamento cobra vida. 💡

Así es vivir en Boulevard 5:
Un smart apartment donde la tecnología trabaja para ti.

✅ Cerradura inteligente
✅ Luz y enchufes automatizados
✅ Alexa Echo Dot incluida
✅ Diseño moderno en pleno corazón de Zona 5

📍 Boulevard 5 | Zona 5
Cerradura inteligente · Luces automáticas
Alexa incluida
Boulevard 5 | Zona 5
💰 Cuota desde Q7,500/mes

🚨 Últimas unidades disponibles.
Escribinos ahora y agendemos tu visita. 👇","""Tu casa te reconoce""
Cerradura inteligente · Luces automáticas
Alexa incluida
Boulevard 5 | Zona 5
",,FALSE,,FALSE,,,,"Llegas a casa con las manos llenas de bolsas...La puerta se abre sola. 🔐Dices ""Alexa, enciende las luces""...Y tu apartamento cobra vida. 💡Así es vivir en Boulevard 5:Un smart apartment donde la tecnología trabaja para ti.✅ Cerradura inteligente✅ Luz y enchufes automatizados✅ Alexa Echo Dot incluida✅ Diseño moderno en pleno corazón de Zona 5📍 Boulevard 5 | Zona 5Cerradura inteligente · Luces automáticasAlexa incluidaBoulevard 5 | Zona 5💰 Cuota desde Q7,500/mes🚨 Últimas unidades disponibles.Escribinos ahora y agendemos tu visita. 👇",,,,,,,,,,,,,,,,,,,,,,"",,¿Cuánto tiempo pierdes en el tráfico? 🚗,,,,,Ir,8,"Fri, May 15",Pendiente,Facebook / Instagram,Carrusel,Behind The Scenes | Construcción,,,,
,,,,,,,,,,Proyecto,Boulevard 5,,,,,FALSE,,FALSE,,,,,,Semana 2,4,5,6,7,8,9,10,,,,,,,,,,,,,"",,,,,,,Ir,9,"Tue, May 19",Pendiente,Facebook / Instagram,Carrusel,Lifestyle Check: un sábado en Boulevard ,,,,
Links rápidos,,,,,,,,,,Plataforma,Facebook / Instagram,,,,,FALSE,,FALSE,,,,,,,"3 - Facebook / Instagram - Post - May The Fourth
17 - Facebook / Instagram - Post - May the Fourth
32 - Facebook / Instagram - Post - May The Fourth
47 - Facebook / Instagram - Post - May the Fourth
62 - Facebook / Instagram - Post - 5 razones para compr",,"4 - Facebook / Instagram - Post - Last Units
18 - Facebook / Instagram - Post - Apartamentos de 1 ha
33 - Facebook / Instagram - Post - Amenidades que hacen
48 - Facebook / Instagram - Post - Colonial por fuera. 
63 - Facebook / Instagram - Post - Contenido educativo:",,,"5 - Facebook / Instagram - Post - El mejor regalo para
19 - Facebook / Instagram - Post - ¿Qué es Mi Primera C
34 - Facebook / Instagram - Post - Diseño moderno en me
49 - Facebook / Instagram - Post - La inversión más sól
64 - Facebook / Instagram - Post - El equipo detrás de ","6 - Facebook / Instagram - Post - Día de la Madre
20 - Facebook / Instagram - Post - Para la mamá que sie
35 - Facebook / Instagram - Post - Para la mamá que mer
50 - Facebook / Instagram - Post - 
65 - Facebook / Instagram - Post - Mayo: el mes de las ",,,,,,,,,,,,,"",,,,,,,Ir,10,"Fri, May 22",Pendiente,Facebook / Instagram,Carrusel,"No me alcanza"" — desmontando la objeción 💬",,,,
